FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
0,1,143,15,29,1,correct
0,0,138,13,29,0,correct
0,0,131,15,30,1,correct
0,0,126,13,29,0,correct
0,1,129,15,31,1,correct
0,0,127,14,35,0,correct
0,1,136,14,35,1,correct
0,0,141,14,34,0,correct
1,0,145,15,36,1,correct
0,0,139,14,33,0,correct
0,87,129,15,37,1,correct
0,107,120,14,36,0,correct
1,121,120,16,37,1,correct
0,127,118,16,38,0,correct
1,136,117,16,40,2,correct
0,139,117,15,39,0,correct
2,140,114,16,39,2,correct
0,138,122,14,38,0,correct
2,128,137,16,39,2,correct
0,127,146,14,37,0,correct
2,125,149,16,39,1,correct
0,116,150,14,37,0,correct
1,69,153,16,40,111,correct
0,0,146,15,38,121,correct
2,2,145,16,38,126,correct
0,0,139,14,37,127,correct
1,1,138,16,38,127,correct
0,0,132,15,37,125,correct
1,2,129,16,37,126,correct
0,0,120,14,36,124,correct
1,1,118,15,36,126,correct
0,0,111,15,35,123,correct
1,1,113,16,36,125,correct
0,0,111,14,35,124,correct
1,1,112,16,36,126,correct
0,0,113,14,35,124,correct
0,1,114,15,36,124,correct
0,0,114,15,35,125,correct
13,15,130,27,46,136,correct
13,13,133,16,35,128,correct
0,0,121,15,33,126,correct
0,1,122,15,36,128,correct
0,0,121,14,35,127,correct
1,73,125,16,36,130,correct
0,105,125,15,35,130,correct
2,114,129,16,37,134,correct
0,128,129,15,35,133,correct
2,139,130,16,37,135,correct
0,134,134,14,36,135,correct
2,132,137,16,36,136,correct
0,113,137,14,35,133,correct
1,91,140,16,33,135,correct
0,15,134,15,30,133,correct
0,0,130,15,19,134,correct
0,0,125,14,17,133,correct
1,1,127,15,19,133,correct
0,0,124,14,16,133,correct
1,1,124,15,1,134,correct
0,0,119,15,0,132,correct
0,1,119,15,1,131,correct
0,0,118,14,0,131,correct
1,0,117,16,0,131,correct
0,0,123,15,0,131,correct
1,2,125,15,2,134,correct
0,0,124,15,0,133,correct
1,1,125,16,2,136,correct
0,0,124,14,0,134,correct
1,1,125,16,1,135,correct
0,0,120,15,0,134,correct
1,1,120,16,1,135,correct
0,0,117,15,0,135,correct
1,1,116,16,1,136,correct
0,0,117,14,0,135,correct
1,1,118,16,2,137,correct
0,0,116,15,0,135,correct
1,1,113,15,1,136,correct
0,0,107,14,0,135,correct
0,1,106,15,1,134,correct
0,0,109,13,0,134,correct
1,1,114,15,1,133,correct
0,0,114,14,0,132,correct
0,0,116,15,1,132,correct
0,0,113,14,0,132,correct
0,0,109,15,1,133,correct
0,0,109,14,0,134,correct
1,36,111,15,1,136,correct
0,81,110,14,0,136,correct
1,103,108,15,0,138,correct
27,126,134,49,31,160,correct
1,101,115,15,1,137,correct
0,55,114,15,0,136,correct
1,31,119,15,1,138,correct
0,0,118,14,0,136,correct
1,1,117,16,1,135,correct
0,0,119,14,0,132,correct
1,1,117,15,0,132,correct
0,0,110,14,0,131,correct
1,1,104,15,1,133,correct
0,0,85,13,0,129,correct
1,43,81,15,1,128,correct
0,67,73,14,0,126,correct
0,92,78,15,1,126,correct
0,52,73,14,0,126,correct
1,27,69,15,1,128,correct
0,18,65,13,0,128,correct
1,36,43,15,1,130,correct
0,38,43,14,0,130,correct
1,0,44,15,0,130,correct
0,0,46,13,0,130,correct
1,1,49,15,1,131,correct
0,0,68,14,0,130,correct
1,1,72,15,1,132,correct
0,0,72,14,0,132,correct
0,0,85,15,0,134,correct
0,0,93,14,0,135,correct
0,67,88,15,1,137,correct
0,94,87,14,0,137,correct
1,119,86,15,2,138,correct
0,120,82,14,0,138,correct
0,134,68,15,2,142,correct
0,143,33,15,0,140,correct
1,142,1,15,1,142,correct
0,143,15,15,0,142,correct
1,142,34,15,1,143,correct
0,140,44,14,0,142,correct
1,141,68,16,1,143,correct
0,141,60,15,0,142,correct
1,146,69,16,1,143,correct
0,143,69,15,0,142,correct
1,140,77,16,2,144,correct
0,131,103,15,0,142,correct
1,123,113,15,1,143,correct
0,88,117,14,0,142,correct
1,75,121,15,1,141,correct
0,30,136,14,0,139,correct
1,1,132,15,1,141,correct
0,0,143,14,0,141,correct
1,1,126,15,0,140,correct
0,0,105,13,0,141,correct
1,0,93,15,1,141,correct
0,0,85,13,0,139,correct
10,11,93,27,0,140,correct
0,1,90,15,1,140,correct
0,0,88,13,0,139,correct
1,0,89,15,0,140,correct
0,0,87,13,0,139,correct
0,1,84,15,1,140,correct
0,0,46,14,0,141,correct
1,1,49,15,1,141,correct
0,0,72,13,0,140,correct
0,1,91,15,1,140,correct
0,0,94,14,0,138,correct
0,1,96,15,1,139,correct
