Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
29,0,768,0,704,0,0,632
30,0,743,0,694,0,0,765
31,0,713,0,684,140,0,731
32,0,694,0,638,177,0,739
33,0,689,0,501,181,0,743
34,0,705,0,526,170,0,771
35,0,770,0,635,166,27,766
36,1,781,0,663,135,49,742
37,0,784,0,678,90,53,712
38,0,786,0,667,45,41,666
39,0,790,0,624,26,48,583
40,0,792,0,602,16,52,548
41,0,786,0,616,19,66,610
42,0,790,0,650,0,104,574
43,0,779,0,638,0,99,478
44,0,766,0,607,0,64,452
45,0,758,0,597,0,45,432
46,0,748,0,597,0,51,451
47,0,751,0,618,0,52,555
48,0,736,0,625,0,38,507
49,0,736,0,622,0,10,458
50,0,738,0,630,0,52,550
51,0,741,0,633,0,54,620
52,0,736,0,628,0,54,629
53,0,737,0,631,0,58,631
54,0,751,0,648,0,77,638
55,1,769,0,677,0,103,589
56,1,780,0,673,0,120,609
57,0,780,0,677,0,116,595
58,0,787,0,692,0,129,560
59,0,792,0,703,0,130,567
60,1,790,0,694,0,77,622
61,0,782,0,680,0,47,679
62,0,775,0,675,0,13,694
63,0,777,0,669,13,0,694
64,0,785,0,681,15,26,712
65,0,789,0,684,16,25,713
66,0,791,21,688,0,25,718
67,0,792,3,689,0,26,714
68,0,791,0,689,0,25,714
69,1,792,0,686,0,25,710
70,0,791,0,687,0,25,704
71,0,790,0,688,0,24,674
72,0,790,0,689,0,24,673
73,1,789,0,693,0,25,681
74,0,790,9,694,0,27,677
75,0,790,10,700,0,26,687
76,0,784,10,702,0,23,663
77,0,781,14,697,0,13,642
78,0,780,29,694,0,0,625
79,0,776,27,696,0,0,633
80,0,779,40,696,0,7,639
81,1,777,42,697,0,0,639
82,0,781,40,698,0,22,643
83,0,784,37,703,0,25,657
84,0,784,29,704,0,19,669
85,0,784,42,704,0,16,675
86,0,785,53,703,0,17,671
87,0,787,32,703,0,17,669
88,1,786,73,703,0,19,666
89,0,783,71,700,0,16,649
90,0,782,57,699,0,0,633
91,0,782,68,703,0,18,648
92,0,786,109,707,0,35,650
93,1,790,104,713,0,36,650
94,0,793,132,722,0,42,651
95,0,794,176,733,0,43,628
96,1,795,212,736,0,35,600
97,0,797,232,736,0,33,609
98,0,796,239,739,0,14,627
99,0,794,234,738,0,11,652
100,1,789,181,724,0,0,672
101,0,773,136,698,0,0,698
102,0,751,53,675,15,0,684
103,0,748,118,675,37,0,697
104,0,761,137,679,27,0,662
105,0,771,134,681,0,0,645
106,0,767,126,672,0,0,614
107,0,746,37,660,0,0,528
108,0,770,0,665,0,0,543
109,0,776,0,672,0,0,580
110,0,784,0,681,0,0,577
111,0,786,0,685,0,0,595
112,0,776,0,679,0,0,682
113,1,774,0,670,39,0,679
114,0,775,0,686,38,0,663
115,0,772,0,689,0,16,650
116,0,770,0,693,0,24,587
117,0,762,0,699,0,0,533
118,0,752,0,707,0,0,471
119,0,750,0,715,0,27,474
120,0,741,0,711,0,0,450
121,0,740,0,693,0,0,480
122,0,740,0,693,0,0,483
123,0,738,0,689,0,0,549
124,0,738,0,637,0,0,576
125,0,739,0,612,0,0,550
126,0,744,13,628,0,0,587
127,0,757,13,654,0,0,592
128,0,766,72,676,0,0,592
129,0,763,71,682,0,0,537
130,0,767,98,683,0,0,587
131,0,762,63,677,0,0,602
132,0,758,77,654,0,0,603
133,0,760,83,647,0,0,623
134,0,760,89,646,0,0,630
135,0,760,148,642,0,0,629
136,1,757,154,643,16,0,642
137,0,756,121,633,16,0,649
138,0,756,132,629,19,0,642
139,0,756,90,624,11,0,639
140,0,757,102,627,5,0,635
141,0,755,101,628,0,0,629
142,0,757,102,627,0,0,629
143,0,758,102,626,0,0,629
144,0,758,103,627,0,0,629
145,0,759,102,628,0,0,632
146,0,759,103,632,0,0,629
147,0,759,83,632,0,0,627
148,0,759,75,633,0,0,627
149,0,759,76,633,0,0,627
150,0,759,85,629,0,0,625
151,0,760,98,632,0,0,617
152,0,760,74,635,0,0,618
153,0,761,39,637,0,0,620
154,0,763,85,640,0,0,617
155,0,765,80,646,0,0,619
156,0,766,103,652,0,0,625
157,0,766,97,655,0,0,625
158,0,765,79,654,0,0,629
159,0,763,86,651,0,0,630
160,0,762,98,648,0,0,631
161,0,762,95,641,0,0,632
162,0,761,135,640,0,0,637
163,0,760,127,639,0,0,634
164,0,760,130,638,0,0,639
165,0,760,130,638,5,0,640
166,0,760,127,627,7,0,639
167,0,760,130,630,14,0,642
168,0,760,131,636,0,0,642
169,0,761,129,638,0,0,640
170,0,760,129,638,0,0,639
171,0,760,95,638,0,0,636
172,0,760,107,638,0,0,635
173,0,760,117,636,0,0,635
174,0,760,127,642,0,0,634
175,0,760,122,650,0,0,634
176,0,761,121,658,0,0,635
177,0,764,118,661,0,0,636
178,0,765,88,667,0,0,610
179,0,767,106,668,0,0,612
180,0,767,106,666,0,0,608
181,0,768,125,669,0,0,628
182,0,768,137,669,0,0,632
183,0,768,142,666,0,0,632
184,0,767,142,665,0,0,631
185,0,766,145,665,0,0,633
186,0,767,148,665,0,0,633
187,0,767,153,665,0,0,633
188,0,769,157,667,0,0,636
189,0,770,157,675,0,0,635
190,0,773,163,679,0,0,628
191,0,773,160,681,0,0,613
192,0,772,158,681,0,0,615
193,0,773,160,682,0,0,619
194,0,773,160,682,0,0,623
195,0,772,163,681,0,0,640
196,0,771,168,678,0,0,641
197,0,770,167,675,0,0,643
198,0,769,165,667,0,0,642
199,0,765,172,664,0,0,641
200,0,765,173,664,0,0,641
201,0,766,173,663,0,0,644
202,0,767,172,670,0,0,644
203,0,768,171,680,0,0,643
204,0,769,164,686,0,0,644
205,0,772,161,689,0,0,643
206,0,772,131,695,0,0,643
207,1,773,169,698,0,0,642
208,0,774,177,699,0,0,641
209,0,777,172,699,0,0,637
210,0,778,175,696,0,0,635
211,1,778,189,695,0,0,638
212,0,776,188,692,0,0,639
213,1,775,184,691,0,0,626
214,0,772,188,679,0,0,598
215,0,771,185,681,0,0,630
216,0,771,212,675,0,0,626
217,0,770,220,676,0,0,632
218,0,769,266,673,0,0,636
219,0,765,212,661,27,0,644
220,0,757,192,639,41,0,651
221,0,744,204,617,151,0,685
222,1,752,279,609,132,0,663
223,0,752,258,620,141,0,674
224,0,748,271,607,142,0,665
225,0,746,197,597,139,0,663
226,1,744,204,595,129,0,656
227,1,744,187,598,117,0,651
228,0,748,188,602,105,0,643
229,0,747,189,605,109,0,641
230,0,747,193,610,95,0,644
231,0,746,190,614,53,0,642
232,0,748,185,611,28,0,637
233,0,746,182,623,26,0,627
234,0,749,181,628,14,0,575
235,0,751,183,641,18,0,588
236,0,752,187,643,0,0,521
237,0,754,188,643,0,0,528
238,0,753,195,637,0,0,515
239,0,753,202,627,0,0,530
240,0,754,202,631,0,0,542
241,0,754,204,625,0,0,550
242,0,753,201,621,0,0,535
243,0,754,196,616,0,0,537
244,0,753,195,617,0,0,536
245,0,753,192,617,0,0,540
246,0,754,194,620,0,0,541
247,1,753,194,617,0,0,540
248,0,753,198,616,0,0,536
249,0,753,197,618,0,0,524
250,0,754,196,621,0,0,520
251,0,752,194,618,0,0,515
252,0,752,192,608,0,0,515
253,0,751,203,604,0,0,517
254,0,750,235,602,0,0,520
255,0,751,231,599,0,0,520
256,0,749,233,603,0,0,519
257,0,749,227,609,0,0,518
258,0,749,229,615,0,0,518
259,0,750,231,619,0,0,517
260,0,754,232,637,0,0,518
261,0,754,242,645,0,0,515
262,0,756,244,653,0,0,513
263,0,755,232,658,0,0,513
264,0,756,228,657,0,0,508
265,0,756,230,651,0,0,515
266,0,754,233,640,0,0,512
267,0,753,219,630,0,0,505
268,0,755,236,627,0,0,524
269,0,754,252,626,0,0,530
270,0,754,244,623,0,0,533
271,0,753,262,620,0,0,534
272,0,754,262,621,0,0,534
273,0,754,252,621,0,0,535
274,0,753,245,618,0,0,532
275,0,754,249,621,0,0,531
276,0,755,248,627,0,0,531
277,0,755,240,634,0,0,530
278,0,759,239,648,0,0,532
279,0,759,241,659,0,0,533
280,0,759,238,663,0,0,533
281,0,756,238,665,0,0,524
282,0,756,235,663,0,0,521
283,0,755,239,656,0,0,518
284,0,754,239,649,0,0,524
285,0,753,237,634,0,0,521
286,0,752,236,633,0,0,530
287,0,752,242,628,0,0,535
288,0,752,242,627,0,0,539
289,0,738,214,576,0,0,545
290,0,737,218,578,0,0,548
291,0,741,205,573,0,0,548
292,0,741,207,582,0,0,543
293,0,744,223,583,0,0,544
294,0,744,227,587,0,0,540
295,0,746,226,597,0,0,545
296,0,747,227,614,0,0,546
297,0,748,227,623,0,0,538
298,0,753,213,645,0,0,544
299,0,754,231,655,0,0,540
300,0,755,225,661,0,0,539
301,0,755,228,662,0,0,540
302,0,756,215,660,0,0,535
303,0,759,213,653,0,0,525
304,0,758,222,641,0,0,528
305,0,755,240,631,0,0,527
306,0,753,240,627,0,0,525
307,0,752,241,624,0,0,522
308,0,750,246,620,0,0,518
309,0,750,248,617,0,0,506
310,0,751,245,600,0,0,505
311,0,749,251,601,0,0,472
312,0,746,222,599,0,0,456
313,0,746,214,590,0,0,462
314,0,748,211,596,0,0,464
