Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,0,0,0,84,0,629
1,0,0,0,0,82,0,630
2,0,0,0,0,84,0,631
3,0,0,0,0,85,0,631
4,0,0,0,0,84,0,634
5,0,0,0,0,84,0,634
6,0,0,0,0,84,0,632
7,0,0,0,0,86,0,634
8,0,0,0,0,87,0,634
9,0,0,0,0,85,0,634
10,0,0,0,0,88,0,634
11,0,0,0,0,87,0,633
12,0,0,0,0,86,0,634
13,0,0,0,0,88,0,635
14,0,0,0,0,88,0,636
15,0,0,0,0,89,0,636
16,0,0,0,0,90,0,637
17,0,0,0,0,93,0,638
18,0,0,0,0,89,0,637
19,0,0,0,0,87,0,635
20,0,0,0,0,90,0,631
21,0,0,0,0,91,0,630
22,0,0,0,0,91,0,632
23,0,0,0,0,91,0,635
24,0,0,0,0,89,0,635
25,0,0,0,0,92,0,635
26,0,0,0,0,93,0,633
27,0,0,0,0,94,0,633
28,0,0,0,0,92,0,633
29,0,0,0,0,92,0,633
30,0,0,0,0,91,0,631
31,0,0,0,0,89,0,631
32,0,0,0,0,90,0,630
33,0,0,0,0,87,0,626
34,0,0,0,0,81,0,628
35,0,0,0,0,82,0,629
36,0,0,0,0,86,0,628
37,0,0,0,0,81,0,628
38,0,0,0,0,80,0,628
39,0,0,0,0,81,0,628
40,0,0,0,0,83,0,628
41,0,0,0,0,84,0,627
42,0,0,0,0,84,0,626
43,0,0,0,0,83,0,625
44,0,0,0,0,82,0,625
45,0,0,0,0,82,0,627
46,0,0,0,0,81,0,625
47,0,0,0,0,85,0,625
48,0,0,0,0,84,0,625
49,0,0,0,0,83,0,625
50,0,0,0,0,82,0,625
51,0,0,0,0,81,0,627
52,0,0,0,0,82,0,625
53,0,0,0,0,83,0,623
54,0,0,0,0,84,0,621
55,0,0,0,0,84,0,623
56,0,0,0,0,84,0,623
57,0,0,0,0,84,0,623
58,0,0,0,0,84,0,625
59,0,0,0,0,82,0,625
60,0,0,0,0,83,0,625
61,0,0,0,0,81,0,624
62,0,0,0,0,80,0,624
63,0,0,0,0,83,0,625
64,0,0,0,0,82,0,625
65,0,0,0,0,84,0,625
66,0,0,0,0,85,0,628
67,0,0,0,0,87,0,628
68,0,0,0,0,86,0,626
69,0,0,0,0,88,0,625
70,0,0,0,0,88,0,625
71,0,0,0,0,85,0,625
72,0,0,0,0,84,0,625
73,0,0,0,0,88,0,626
74,0,0,0,0,86,0,627
75,0,0,0,0,86,0,627
76,0,0,0,0,86,0,627
77,0,0,0,0,86,0,626
78,0,0,0,0,87,0,626
79,0,0,0,0,87,0,628
80,0,0,0,0,86,0,625
81,0,0,0,0,87,0,626
82,0,0,0,0,88,0,623
83,0,0,0,0,87,0,623
84,0,0,0,0,85,0,621
85,0,0,0,0,84,0,620
86,0,0,0,0,83,0,617
87,0,0,0,0,85,0,618
88,0,0,0,0,86,0,622
89,0,0,0,0,93,0,621
90,0,0,0,0,95,0,621
91,0,0,0,0,97,0,624
92,0,0,0,0,97,0,628
93,0,0,0,0,100,0,624
94,0,0,0,0,100,0,618
95,0,0,0,0,97,0,611
96,0,0,0,0,97,0,620
97,0,0,0,0,99,0,613
98,0,0,0,0,98,0,606
99,0,0,0,0,101,0,619
100,0,0,0,0,103,0,621
101,0,0,0,0,103,0,621
102,0,0,0,0,100,0,621
103,0,0,0,0,98,0,619
104,0,0,0,0,97,0,619
105,0,0,0,0,92,0,618
106,0,0,0,0,93,0,619
107,0,0,0,0,94,0,618
108,0,0,0,0,88,0,617
109,0,0,0,0,88,0,615
110,0,0,0,0,87,0,615
111,0,0,0,0,85,0,613
112,0,0,0,0,83,0,612
113,0,0,0,0,85,0,613
114,0,0,0,0,84,0,614
115,0,0,0,0,84,0,616
116,0,0,0,0,86,0,616
117,0,0,0,0,87,0,618
118,0,0,0,0,85,0,618
