FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
2,4,4,18,367,587,lean forward
4,5,4,19,364,588,lean forward
3,3,3,18,362,591,lean forward
3,4,4,19,363,590,lean forward
3,3,3,18,363,592,lean forward
3,4,4,19,364,583,lean forward
3,3,3,19,365,585,lean forward
3,4,4,19,363,589,lean forward
2,2,4,19,362,567,lean forward
4,4,4,20,365,562,lean forward
3,3,3,18,365,539,lean forward
3,4,4,19,363,523,lean forward
2,3,3,18,363,518,lean forward
4,4,4,20,364,526,lean forward
3,4,3,19,365,537,lean forward
16,16,17,28,365,550,lean forward
3,4,4,20,366,549,lean forward
3,4,3,19,365,551,lean forward
4,4,5,20,367,568,lean forward
2,3,4,16,367,560,lean forward
3,4,4,20,370,568,lean forward
2,2,3,17,369,565,lean forward
3,4,4,17,366,546,lean forward
2,3,3,16,367,524,lean forward
4,4,4,17,367,518,lean forward
3,3,3,16,367,520,lean forward
4,4,4,17,368,519,lean forward
2,3,3,16,367,519,lean forward
4,4,4,18,369,520,lean forward
3,2,3,16,370,519,lean forward
4,4,4,17,369,519,lean forward
2,3,2,16,365,519,lean forward
3,4,4,17,367,518,lean forward
2,2,3,17,368,519,lean forward
4,4,4,17,369,518,lean forward
3,3,3,16,368,519,lean forward
4,4,4,17,369,520,lean forward
3,3,3,16,366,518,lean forward
3,4,4,17,367,518,lean forward
2,3,3,3,369,519,lean forward
4,4,4,4,370,518,lean forward
2,3,3,3,370,513,lean forward
4,4,4,4,370,516,lean forward
3,3,3,3,361,516,lean forward
4,4,4,4,361,539,lean forward
3,3,2,2,358,564,lean forward
3,4,4,4,361,579,lean forward
3,3,4,3,360,581,lean forward
4,5,4,4,363,586,lean forward
2,4,4,3,363,587,lean forward
4,5,5,5,365,586,lean forward
3,3,3,4,369,584,lean forward
3,4,4,4,366,570,lean forward
3,3,3,16,364,565,lean forward
3,4,4,17,367,562,lean forward
3,4,4,15,368,563,lean forward
4,4,4,18,370,566,lean forward
2,2,2,16,371,566,lean forward
4,5,5,18,372,565,lean forward
3,2,3,16,372,560,lean forward
4,5,5,18,373,556,lean forward
3,3,2,16,373,553,lean forward
4,4,4,18,374,553,lean forward
4,3,3,16,373,551,lean forward
4,4,5,18,374,548,lean forward
3,3,2,16,373,551,lean forward
4,4,4,18,374,555,lean forward
3,3,2,16,374,556,lean forward
4,4,5,17,375,558,lean forward
3,4,3,17,374,555,lean forward
4,5,5,17,375,550,lean forward
3,3,3,16,375,545,lean forward
3,5,4,17,376,538,lean forward
3,2,2,16,374,534,lean forward
4,4,4,18,375,530,lean forward
2,3,2,16,374,528,lean forward
3,4,4,16,376,520,lean forward
2,2,3,16,374,506,lean forward
4,4,4,16,375,506,lean forward
2,3,3,16,374,505,lean forward
3,4,3,17,374,506,lean forward
2,2,2,16,374,505,lean forward
3,4,3,16,375,506,lean forward
2,2,3,16,374,505,lean forward
3,4,3,16,373,506,lean forward
2,3,3,16,372,505,lean forward
3,4,4,17,374,507,lean forward
2,3,2,16,374,506,lean forward
3,4,4,17,374,508,lean forward
2,2,3,16,373,507,lean forward
3,4,4,17,374,500,lean forward
2,3,3,16,373,502,lean forward
4,5,4,17,373,513,lean forward
3,3,3,16,369,482,lean forward
4,4,4,18,371,505,lean forward
2,3,3,16,367,472,lean forward
3,4,3,16,370,480,lean forward
2,3,3,16,370,480,lean forward
3,4,4,18,372,477,lean forward
2,3,3,16,370,488,lean forward
3,4,4,16,372,489,lean forward
2,2,2,16,370,489,lean forward
3,3,3,16,373,496,lean forward
2,2,2,16,373,496,lean forward
3,3,4,16,374,491,lean forward
2,3,2,16,374,488,lean forward
4,4,3,17,374,487,lean forward
1,3,2,16,370,487,lean forward
3,3,3,16,370,487,lean forward
2,3,2,16,368,484,lean forward
3,3,3,17,368,475,lean forward
1,2,2,16,365,473,lean forward
3,4,4,17,365,466,lean forward
32,42,43,47,380,452,lean forward
3,3,3,16,353,417,lean forward
1,1,2,15,337,377,lean forward
3,4,2,16,343,360,lean forward
1,2,2,15,353,366,lean forward
3,4,3,16,350,367,lean forward
2,1,1,15,350,369,lean forward
2,3,3,16,353,374,lean forward
15,18,17,19,357,372,lean forward
2,2,2,15,361,370,lean forward
3,3,3,16,363,371,lean forward
1,2,2,15,362,368,lean forward
3,3,3,17,364,365,lean forward
1,2,2,14,364,358,lean forward
2,3,3,16,362,355,lean forward
1,1,2,15,361,349,lean forward
2,3,2,16,363,339,lean forward
1,1,1,15,365,334,lean forward
3,2,2,16,364,316,lean forward
1,1,1,15,363,304,lean forward
2,3,2,16,364,297,lean forward
0,1,1,15,364,287,lean forward
2,3,3,16,364,278,lean forward
1,1,0,14,356,271,lean forward
2,2,2,15,353,235,lean forward
0,1,1,15,358,232,lean forward
2,3,2,16,358,229,lean forward
1,1,1,14,359,224,lean forward
2,3,2,16,362,218,lean forward
0,1,1,14,363,213,lean forward
2,2,2,16,365,238,lean forward
1,1,2,15,365,256,lean forward
2,3,2,15,365,264,lean forward
1,2,1,14,364,269,lean forward
3,2,3,16,364,303,lean forward
1,1,1,14,364,319,lean forward
3,3,3,16,366,327,lean forward
2,1,1,15,365,334,lean forward
3,3,3,16,366,342,lean forward
2,2,2,15,367,346,lean forward
3,2,2,16,368,350,lean forward
2,2,1,15,369,353,lean forward
3,3,3,16,371,354,lean forward
1,1,1,15,369,359,lean forward
3,3,3,17,369,372,lean forward
2,2,2,15,368,381,lean forward
3,4,3,17,367,386,lean forward
2,2,2,15,366,387,lean forward
4,4,4,17,368,392,lean forward
1,2,2,15,367,388,lean forward
3,3,4,17,369,391,lean forward
2,2,2,15,368,393,lean forward
3,3,3,17,370,399,lean forward
1,2,3,16,369,401,lean forward
4,4,4,17,368,407,lean forward
2,2,2,16,366,407,lean forward
3,3,3,17,367,409,lean forward
2,2,2,16,368,407,lean forward
3,4,3,17,369,407,lean forward
1,2,2,16,370,406,lean forward
3,3,3,16,374,407,lean forward
2,3,3,16,371,414,lean forward
3,4,4,17,365,420,lean forward
2,3,2,16,361,426,lean forward
4,3,3,17,361,430,lean forward
2,3,2,16,362,430,lean forward
4,3,3,17,365,431,lean forward
2,3,2,16,361,431,lean forward
3,3,3,16,361,431,lean forward
2,1,2,15,360,432,lean forward
2,3,3,16,360,433,lean forward
1,1,2,15,359,436,lean forward
2,3,3,16,357,440,lean forward
2,2,3,15,359,438,lean forward
3,3,3,16,358,431,lean forward
1,2,2,16,358,427,lean forward
3,3,3,16,361,426,lean forward
1,2,2,15,358,419,lean forward
3,3,3,16,358,418,lean forward
2,2,1,15,357,418,lean forward
3,3,3,16,358,417,lean forward
2,2,2,15,360,417,lean forward
3,3,3,17,360,419,lean forward
1,2,2,16,359,418,lean forward
3,4,4,17,359,419,lean forward
1,2,3,16,359,419,lean forward
3,3,4,17,360,421,lean forward
1,2,2,16,356,429,lean forward
3,4,4,17,348,434,lean forward
1,2,2,16,342,439,lean forward
3,3,3,16,342,435,lean forward
2,2,2,16,342,440,lean forward
3,3,3,16,345,461,lean forward
37,36,35,48,371,488,lean forward
3,4,4,17,343,473,lean forward
2,3,3,16,349,482,lean forward
4,4,4,17,363,491,lean forward
3,3,2,16,360,498,lean forward
4,4,4,18,362,505,lean forward
3,2,3,16,361,512,lean forward
3,4,4,18,361,511,lean forward
2,3,3,16,361,510,lean forward
3,4,4,18,361,516,lean forward
3,3,3,16,360,517,lean forward
4,4,5,17,358,518,lean forward
3,3,3,16,360,520,lean forward
4,4,4,17,361,519,lean forward
2,3,3,16,360,526,lean forward
4,4,18,31,370,525,lean forward
16,18,18,32,365,520,lean forward
4,3,3,17,367,519,lean forward
4,4,4,17,368,517,lean forward
2,3,3,16,368,516,lean forward
4,4,4,18,369,517,lean forward
2,3,3,16,368,519,lean forward
4,5,4,17,368,520,lean forward
2,2,3,16,367,519,lean forward
4,4,4,18,368,519,lean forward
45,37,36,49,388,537,lean forward
4,4,4,17,369,519,lean forward
3,3,3,16,368,519,lean forward
3,4,4,18,370,520,lean forward
2,3,3,16,369,519,lean forward
4,4,4,17,371,518,lean forward
3,3,3,16,372,509,lean forward
4,4,4,18,375,512,lean forward
2,3,2,16,375,495,lean forward
3,4,4,17,376,484,lean forward
2,3,3,16,375,485,lean forward
3,4,4,17,377,508,lean forward
2,3,3,16,376,511,lean forward
3,3,4,17,373,516,lean forward
2,3,3,16,372,512,lean forward
4,4,4,17,375,514,lean forward
2,2,2,16,376,514,lean forward
3,3,4,17,373,512,lean forward
2,2,2,16,366,514,lean forward
3,3,4,17,368,513,lean forward
35,35,33,56,388,526,lean forward
4,4,4,18,361,512,lean forward
2,4,3,16,361,512,lean forward
3,4,4,17,359,512,lean forward
2,2,3,16,357,511,lean forward
4,4,4,18,354,512,lean forward
2,2,3,16,354,511,lean forward
4,4,4,18,354,512,lean forward
3,2,2,16,352,511,lean forward
4,4,4,18,353,512,lean forward
3,3,3,16,351,511,lean forward
4,4,4,17,352,512,lean forward
2,2,3,16,351,511,lean forward
4,4,4,17,353,511,lean forward
2,3,3,16,352,510,lean forward
3,3,3,17,353,510,lean forward
2,3,3,16,353,510,lean forward
4,4,3,17,353,511,lean forward
2,3,3,16,351,510,lean forward
3,3,3,16,352,508,lean forward
2,3,2,16,352,506,lean forward
3,4,4,17,353,505,lean forward
2,3,2,16,352,504,lean forward
3,4,3,17,353,501,lean forward
2,3,3,16,351,499,lean forward
4,4,3,17,349,482,lean forward
