Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,0,517,454,0,0,0
1,0,0,519,459,0,0,0
2,0,0,516,462,0,0,0
3,0,0,523,449,0,0,0
4,0,0,530,464,0,0,0
5,0,0,536,467,0,0,0
6,0,0,542,473,0,0,0
7,0,0,542,481,0,0,0
8,0,0,544,489,0,0,0
9,0,0,545,489,0,0,0
10,0,0,546,490,0,0,0
11,0,0,544,476,0,0,0
12,0,0,538,482,0,0,0
13,0,0,537,492,0,0,0
14,0,0,481,491,0,0,0
15,0,0,495,456,0,0,0
16,0,0,506,477,0,0,0
17,0,0,506,480,0,0,0
18,0,0,528,456,0,0,0
19,0,0,532,477,0,0,0
20,0,0,527,468,0,0,0
21,0,0,517,411,0,0,0
22,0,0,543,456,0,0,0
23,0,0,494,330,0,0,0
24,0,0,552,387,0,0,0
25,0,0,523,435,0,0,0
26,0,0,487,284,0,0,0
27,0,0,528,412,0,0,0
28,0,0,404,416,0,0,0
29,0,0,453,414,0,0,0
30,0,0,513,447,0,0,0
31,0,0,483,447,0,0,0
32,0,0,506,417,0,0,0
33,0,0,539,418,0,0,0
34,0,0,491,458,0,0,0
35,0,0,451,461,0,0,0
36,0,0,449,459,0,0,0
37,0,0,522,426,0,0,0
38,0,0,519,458,0,0,0
39,0,0,465,460,0,0,0
40,0,0,476,471,0,0,0
41,0,0,486,474,0,0,0
42,0,0,492,477,0,0,0
43,0,0,506,472,0,0,0
44,0,0,501,479,0,0,0
45,0,0,494,480,0,0,0
46,0,0,486,482,0,0,0
47,0,0,495,481,0,0,0
48,0,0,492,485,0,0,0
49,0,0,496,490,0,0,0
50,0,0,516,495,0,0,0
51,0,0,550,492,0,0,0
52,0,0,561,493,0,0,0
53,0,0,563,488,0,0,0
54,0,0,556,482,0,0,0
55,0,0,548,485,0,0,0
56,0,0,552,483,0,0,0
57,0,0,555,484,0,0,0
58,0,0,544,486,0,0,0
59,0,0,550,492,0,0,0
60,0,0,554,495,0,0,0
61,0,0,554,499,0,0,0
62,0,0,554,505,0,0,0
63,0,0,547,507,0,0,0
64,0,0,551,511,0,0,0
65,0,0,551,506,0,0,0
66,0,0,549,509,0,0,0
67,0,0,544,503,0,0,0
68,0,0,546,509,0,0,0
69,0,0,538,502,0,0,0
70,0,0,534,498,0,0,0
71,0,0,536,490,0,0,0
72,0,0,524,492,0,0,0
73,0,0,520,494,0,0,0
74,0,0,516,487,0,0,0
75,0,0,519,486,0,0,0
76,0,0,511,489,0,0,0
77,0,0,512,490,0,0,0
78,0,0,504,488,0,0,0
79,0,0,498,493,0,0,0
80,0,0,469,515,0,0,0
81,0,0,455,483,0,0,0
82,0,0,460,498,0,0,0
83,0,0,461,481,0,0,0
84,0,0,462,504,0,0,0
85,0,0,467,471,0,0,0
86,0,0,491,488,0,0,0
87,0,0,469,471,0,0,0
88,0,0,455,476,0,0,0
89,0,0,463,475,0,0,0
90,0,0,458,478,0,0,0
91,0,0,461,486,0,0,0
92,0,0,473,493,0,0,0
93,0,0,480,485,0,0,0
94,0,0,485,497,0,0,0
95,0,0,473,494,0,0,0
96,0,0,470,484,0,0,0
97,0,0,475,481,0,0,0
98,0,0,475,483,0,0,0
99,0,0,474,496,0,0,0
100,0,0,510,498,0,0,0
101,0,0,557,489,0,0,0
102,0,0,576,517,0,0,0
103,0,0,579,494,0,0,0
104,0,0,575,518,0,0,0
105,0,0,556,500,0,0,0
106,0,0,566,525,0,0,0
107,0,0,554,524,0,0,0
108,0,0,561,530,0,0,0
109,0,0,560,530,0,0,0
110,0,0,560,527,0,0,0
111,0,0,564,530,0,0,0
112,0,0,543,531,0,0,0
113,0,0,560,534,0,0,0
114,0,0,523,559,0,0,0
115,0,0,500,552,0,0,0
116,0,0,511,534,0,0,0
117,0,0,482,528,0,0,0
118,0,0,500,536,0,0,0
119,0,0,464,531,0,0,0
120,0,0,467,492,0,0,0
121,0,0,480,485,0,0,0
122,0,0,463,504,0,0,0
123,0,0,458,500,0,0,0
124,0,0,460,514,0,0,0
125,0,0,471,504,0,0,0
126,0,0,479,520,0,0,0
127,0,0,518,509,0,0,0
128,0,0,544,515,0,0,0
129,0,0,555,530,0,0,0
130,0,0,545,525,0,0,0
131,0,0,546,521,0,0,0
132,0,0,546,526,0,0,0
133,0,0,538,526,0,0,0
134,0,0,536,534,0,0,0
135,0,0,530,534,0,0,0
136,0,0,527,541,0,0,0
137,0,0,511,545,0,0,0
138,0,0,508,544,0,0,0
139,0,0,506,544,0,0,0
140,0,0,505,549,0,0,0
141,0,0,498,547,0,0,0
142,0,0,483,546,0,0,0
143,0,0,471,555,0,0,0
144,0,0,458,558,0,0,0
145,0,0,474,571,0,0,0
146,0,0,456,567,0,0,0
147,0,0,467,562,0,0,0
148,0,0,469,564,0,0,0
149,0,0,470,563,0,0,0
150,0,0,473,561,0,0,0
151,0,0,451,574,0,0,0
152,0,0,459,575,0,0,0
153,0,0,463,573,0,0,0
154,0,0,472,584,0,0,0
155,0,0,486,578,0,0,0
156,0,0,494,583,0,0,0
157,0,0,518,596,0,0,0
158,0,0,494,594,0,0,0
159,0,0,490,594,0,0,0
160,0,0,503,599,0,0,0
161,0,0,491,595,0,0,0
162,0,0,497,591,0,0,0
163,0,0,488,591,0,0,0
