FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
4,567,182,19,103,494,lean left
2,574,181,18,105,493,lean left
3,551,182,18,105,492,lean left
2,566,181,18,102,491,lean left
25,590,203,46,121,502,lean left
2,506,176,17,103,490,lean left
3,481,181,18,105,492,lean left
29,478,194,38,126,504,lean left
2,274,175,17,108,501,lean left
1,219,170,16,108,504,lean left
2,222,171,17,111,510,lean left
0,273,175,16,109,509,lean left
3,445,186,18,105,509,lean left
1,273,189,17,102,506,lean left
2,204,178,17,109,506,lean left
1,195,176,16,101,506,lean left
2,208,185,17,100,506,lean left
1,212,191,15,99,504,lean left
2,215,191,17,100,503,lean left
1,200,183,16,99,504,lean left
2,200,177,16,100,504,lean left
1,213,184,16,100,503,lean left
2,220,187,17,100,504,lean left
2,222,175,16,99,503,lean left
1,216,178,16,101,503,lean left
2,216,180,16,101,504,lean left
2,223,180,17,102,504,lean left
2,225,180,16,102,506,lean left
2,210,177,17,102,506,lean left
2,224,187,16,101,506,lean left
2,224,185,17,102,509,lean left
2,219,187,16,101,510,lean left
1,215,186,17,102,511,lean left
1,212,184,16,101,510,lean left
2,211,184,17,101,510,lean left
1,208,182,16,101,511,lean left
2,198,181,17,101,510,lean left
1,221,185,16,98,509,lean left
2,206,193,16,103,510,lean left
2,187,189,16,101,510,lean left
2,153,195,17,103,513,lean left
1,122,191,16,102,516,lean left
2,106,193,17,100,523,lean left
1,38,193,16,96,529,lean left
1,16,193,16,93,531,lean left
1,14,196,16,97,535,lean left
1,20,197,17,101,538,lean left
1,16,198,16,102,538,lean left
1,30,196,17,103,537,lean left
1,36,189,16,103,537,lean left
2,71,189,17,103,537,lean left
1,96,187,16,102,535,lean left
2,123,188,17,102,535,lean left
1,147,187,16,102,535,lean left
2,177,186,17,103,535,lean left
1,195,183,16,103,535,lean left
2,199,184,17,102,536,lean left
1,204,184,16,101,536,lean left
2,211,184,17,105,540,lean left
2,190,179,16,98,538,lean left
10,201,188,25,107,539,lean left
2,190,180,18,104,540,lean left
2,207,179,16,103,542,lean left
2,218,183,17,104,543,lean left
2,214,186,17,104,544,lean left
2,218,186,17,105,545,lean left
1,207,179,16,107,546,lean left
2,211,186,17,106,546,lean left
2,214,185,17,107,545,lean left
2,172,187,17,107,546,lean left
1,148,188,16,104,549,lean left
2,117,189,16,105,551,lean left
1,93,193,16,102,553,lean left
1,52,196,17,104,555,lean left
1,13,195,16,102,555,lean left
1,14,200,17,102,557,lean left
1,11,200,16,100,558,lean left
2,7,200,17,102,559,lean left
1,11,200,16,104,558,lean left
2,13,199,17,104,559,lean left
1,14,194,16,103,559,lean left
2,19,186,17,104,559,lean left
1,117,190,16,106,559,lean left
2,143,187,17,110,559,lean left
2,144,187,16,111,559,lean left
2,182,188,17,111,560,lean left
1,195,188,16,110,559,lean left
2,194,183,18,111,559,lean left
2,197,174,16,109,559,lean left
2,193,172,18,107,559,lean left
1,202,176,17,106,559,lean left
3,189,171,17,107,560,lean left
2,179,171,17,107,560,lean left
2,175,171,16,105,560,lean left
1,171,171,17,104,560,lean left
2,175,170,18,104,560,lean left
2,172,169,17,104,560,lean left
3,189,170,17,104,559,lean left
2,197,168,16,104,559,lean left
2,180,169,18,106,560,lean left
1,157,169,16,105,560,lean left
2,142,169,17,104,560,lean left
1,74,168,16,104,560,lean left
2,20,175,17,106,560,lean left
1,3,174,16,104,561,lean left
1,2,177,17,106,562,lean left
1,2,189,16,104,562,lean left
1,2,190,16,109,562,lean left
1,1,188,16,108,563,lean left
1,2,187,16,109,563,lean left
1,1,184,16,110,562,lean left
1,3,184,17,111,562,lean left
1,3,175,16,109,561,lean left
2,12,176,17,109,561,lean left
1,23,164,16,108,561,lean left
2,38,168,17,109,561,lean left
1,112,165,17,108,560,lean left
2,127,165,18,106,561,lean left
2,141,163,16,105,560,lean left
2,141,163,17,109,560,lean left
2,144,162,17,105,560,lean left
2,153,165,18,105,560,lean left
2,151,163,16,104,560,lean left
2,174,163,18,105,561,lean left
1,170,162,17,103,561,lean left
3,168,163,17,103,561,lean left
0,161,162,17,103,561,lean left
3,174,162,18,105,562,lean left
1,180,163,17,103,561,lean left
2,194,164,18,104,561,lean left
1,187,163,17,104,561,lean left
2,171,164,17,104,561,lean left
1,123,165,17,104,561,lean left
2,73,174,17,105,562,lean left
1,7,181,16,104,562,lean left
2,5,183,17,106,564,lean left
1,1,183,16,104,566,lean left
1,2,187,17,106,567,lean left
1,2,187,16,106,569,lean left
2,2,187,17,107,571,lean left
