Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,1,741,0,278,0,266,822
1,95,742,0,298,0,268,824
2,75,742,0,299,0,269,825
3,83,737,0,300,0,268,824
4,79,737,0,300,0,269,825
5,79,737,0,304,0,269,826
6,92,736,0,305,0,268,826
7,83,735,0,301,0,266,825
8,83,735,0,302,0,266,826
9,97,737,0,300,0,262,824
10,77,735,0,307,0,265,827
11,114,734,0,310,0,265,828
12,116,735,0,309,0,267,827
13,108,738,0,308,0,266,828
14,95,742,0,303,0,271,828
15,106,744,0,303,0,279,829
16,106,744,0,303,0,284,829
17,101,743,0,302,0,280,828
18,107,742,0,302,0,278,829
19,108,746,0,303,0,278,829
20,77,748,0,302,0,278,828
21,114,749,0,303,0,284,829
22,106,745,0,308,0,282,828
23,115,739,0,304,0,280,828
24,100,735,0,303,0,281,828
25,77,736,0,304,0,279,829
26,106,732,0,304,0,277,828
27,109,734,0,305,0,278,829
28,113,732,0,305,0,280,828
29,74,733,0,305,0,274,827
30,74,734,0,304,0,274,828
31,98,732,0,304,0,273,828
32,98,733,0,305,0,272,828
33,83,732,0,305,0,271,828
34,98,733,0,305,0,272,828
35,99,735,0,305,0,272,829
36,108,735,0,306,0,272,828
37,67,734,0,304,0,273,826
38,93,734,0,295,0,273,826
39,111,736,0,292,0,275,828
40,71,735,0,287,0,275,827
41,103,735,0,290,0,275,826
42,110,735,0,289,0,267,822
43,97,731,0,279,0,258,814
44,102,733,0,275,0,260,809
45,79,733,0,276,0,260,806
46,115,725,0,277,0,257,806
47,111,723,0,281,0,258,805
48,112,724,0,287,0,258,806
49,108,726,0,290,0,259,803
50,109,728,0,294,0,259,805
51,107,726,0,296,0,259,808
52,73,722,0,295,0,257,803
53,98,722,0,298,0,258,801
54,96,725,0,300,0,257,796
55,98,727,0,295,0,257,801
56,101,726,0,296,0,258,801
57,105,726,0,295,0,259,801
58,103,728,0,299,0,262,804
59,115,729,0,293,0,259,800
60,107,725,0,297,0,238,795
61,71,729,0,297,0,253,798
62,84,722,0,300,0,253,797
63,104,713,0,292,0,259,798
64,111,718,0,297,0,264,792
65,113,719,0,273,0,262,787
66,111,725,0,224,0,268,783
67,108,755,0,293,0,277,801
68,95,763,0,417,0,296,795
69,106,753,0,559,0,311,800
70,107,744,0,589,0,320,799
