FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
62,1,1,38,141,249,lean right
2,1,1,38,134,239,lean right
0,1,1,37,122,235,lean right
1,1,1,36,124,236,lean right
46,1,1,35,125,247,lean right
10,1,1,34,125,259,lean right
10,1,1,34,136,261,lean right
43,1,2,35,134,259,lean right
1,1,1,33,123,250,lean right
2,2,2,31,121,245,lean right
0,1,0,30,116,234,lean right
2,2,1,32,117,234,lean right
46,1,1,30,123,246,lean right
53,2,2,30,124,246,lean right
52,0,1,28,123,236,lean right
57,2,2,25,118,216,lean right
87,1,0,22,119,214,lean right
101,2,2,24,126,231,lean right
102,1,1,24,126,233,lean right
101,2,2,24,127,234,lean right
101,1,0,24,126,237,lean right
115,17,17,37,143,267,lean right
107,0,0,24,134,241,lean right
108,2,2,25,133,240,lean right
111,1,1,23,133,241,lean right
110,2,2,25,135,243,lean right
108,1,1,24,136,242,lean right
111,2,2,25,137,246,lean right
111,0,1,23,137,247,lean right
111,2,1,24,136,248,lean right
110,1,0,34,145,259,lean right
123,1,0,23,136,251,lean right
116,2,2,24,136,253,lean right
114,1,1,23,136,250,lean right
114,2,1,24,137,253,lean right
113,0,0,24,136,258,lean right
109,1,1,24,135,260,lean right
109,1,0,23,135,257,lean right
106,2,2,25,136,259,lean right
101,0,1,24,134,258,lean right
102,1,1,24,135,260,lean right
100,1,1,23,135,260,lean right
93,1,2,25,134,261,lean right
92,0,1,23,133,262,lean right
98,1,2,25,136,263,lean right
97,1,1,24,135,262,lean right
94,2,2,25,133,264,lean right
83,1,1,24,130,263,lean right
85,2,2,25,127,259,lean right
88,0,0,24,121,255,lean right
88,0,0,25,119,246,lean right
83,0,0,23,116,235,lean right
83,1,1,25,117,233,lean right
82,0,0,23,114,227,lean right
85,1,1,25,116,226,lean right
81,0,0,24,115,225,lean right
111,31,27,50,138,250,lean right
68,1,1,25,114,227,lean right
61,2,2,26,114,228,lean right
57,1,1,24,114,224,lean right
53,2,2,25,114,227,lean right
47,0,0,27,113,225,lean right
48,1,1,27,113,226,lean right
43,0,0,26,112,226,lean right
32,1,1,27,113,227,lean right
0,0,0,26,114,228,lean right
1,2,1,26,113,232,lean right
0,0,0,25,111,232,lean right
2,2,2,25,112,233,lean right
0,0,0,24,111,234,lean right
2,2,2,26,111,235,lean right
