Sample,FSR0,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6
0,0,656,437,623,1,71,1
1,0,649,438,623,1,72,1
2,0,654,437,625,1,73,1
3,0,656,443,626,0,72,1
4,0,657,443,627,1,71,1
5,0,657,444,628,1,72,1
6,0,651,445,629,1,73,1
7,0,652,447,630,1,73,1
8,0,652,445,630,1,74,1
9,0,651,446,630,1,73,2
10,0,655,449,630,1,74,1
11,0,654,452,631,0,73,1
12,0,654,448,632,1,73,1
13,0,653,448,632,1,72,1
14,0,651,449,633,1,77,1
15,0,650,448,633,1,78,1
16,0,651,448,635,1,78,1
17,0,651,450,638,1,78,1
18,0,652,447,638,1,76,1
19,0,651,447,641,1,77,1
20,0,646,446,643,1,77,1
21,0,646,445,644,2,78,1
22,0,645,448,647,1,77,1
23,0,643,446,648,2,76,1
24,0,644,435,651,1,76,2
25,0,645,435,652,1,76,1
26,0,644,435,651,1,75,1
27,0,647,434,651,1,74,1
28,0,647,439,653,1,74,1
29,0,645,434,653,1,75,0
30,0,644,429,653,0,74,0
31,0,646,428,654,0,74,1
32,0,646,427,654,2,76,1
33,0,646,429,654,1,75,1
34,0,647,425,652,0,77,1
35,0,645,425,650,1,78,0
36,0,643,431,654,2,80,2
37,0,644,421,653,2,82,1
38,0,640,427,654,1,82,1
39,0,642,428,655,1,85,1
40,0,648,431,657,2,95,1
41,0,643,433,664,1,111,1
42,0,644,429,667,2,119,1
43,0,646,434,667,1,119,1
44,0,638,431,665,1,114,1
45,0,653,436,665,1,114,0
46,0,653,439,665,1,109,1
47,0,652,434,666,1,102,1
48,0,647,436,667,2,97,2
49,0,651,434,667,2,91,2
50,0,647,435,667,1,90,1
51,0,648,436,667,1,89,1
52,0,650,437,666,1,85,1
53,0,647,435,666,2,86,1
54,0,648,436,666,1,85,1
55,0,644,439,666,1,89,1
56,0,636,438,666,2,89,1
57,0,636,441,666,1,89,1
58,0,636,436,666,1,93,0
59,0,635,452,669,1,93,1
60,0,632,461,670,1,93,1
61,0,631,462,671,2,98,1
62,0,637,458,672,2,96,1
63,0,640,433,674,1,96,1
64,0,639,425,674,2,94,1
65,0,642,421,675,1,94,1
66,0,644,415,675,2,90,1
67,0,646,417,676,2,91,1
68,0,629,419,676,1,92,2
69,0,639,420,677,1,93,1
70,0,646,423,678,1,92,1
71,0,642,423,677,1,91,0
72,0,641,421,677,1,90,1
73,0,641,415,677,1,90,0
74,0,644,420,678,2,89,1
75,0,645,419,680,1,89,1
76,0,643,417,680,1,89,1
77,0,648,416,679,2,89,1
78,0,637,416,679,2,91,1
79,0,632,416,679,1,87,2
80,0,632,420,679,1,91,1
81,0,631,421,679,2,93,1
82,0,610,428,680,1,120,1
83,0,627,440,683,1,122,1
