FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,Posture
803,4,520,4,358,4,slouch
799,5,522,5,356,5,slouch
792,4,508,3,353,3,slouch
794,5,508,4,352,5,slouch
798,3,515,3,352,4,slouch
798,5,530,5,354,4,slouch
796,3,522,3,363,4,slouch
797,5,491,5,370,4,slouch
797,3,495,3,369,3,slouch
797,38,521,14,377,15,slouch
790,3,505,4,371,3,slouch
788,4,523,4,374,4,slouch
786,4,543,4,369,4,slouch
787,13,548,13,373,5,slouch
787,4,548,3,368,4,slouch
787,4,552,4,366,5,slouch
788,4,556,3,362,3,slouch
789,4,562,5,359,5,slouch
790,4,555,4,361,4,slouch
791,5,542,4,365,5,slouch
792,3,526,3,369,3,slouch
791,5,532,4,371,4,slouch
784,4,532,4,366,3,slouch
782,5,534,4,366,4,slouch
782,4,543,4,361,3,slouch
785,5,550,5,358,5,slouch
788,3,556,3,358,4,slouch
793,5,565,5,355,5,slouch
794,3,569,4,344,4,slouch
794,5,574,5,344,5,slouch
795,3,563,3,353,4,slouch
794,5,559,5,358,4,slouch
794,4,557,3,361,3,slouch
794,4,560,4,364,4,slouch
792,4,565,4,364,4,slouch
791,5,569,5,364,4,slouch
789,4,577,3,359,3,slouch
788,5,580,5,353,5,slouch
790,4,581,4,349,3,slouch
791,5,582,4,347,5,slouch
792,3,584,3,342,4,slouch
794,4,587,5,342,4,slouch
791,3,583,4,347,2,slouch
789,5,567,4,356,4,slouch
792,3,566,3,360,3,slouch
794,5,572,5,364,4,slouch
793,4,575,3,364,4,slouch
792,5,576,5,364,4,slouch
793,31,591,25,374,30,slouch
789,5,588,5,356,4,slouch
788,4,588,4,351,4,slouch
790,5,588,5,349,5,slouch
791,4,590,4,344,4,slouch
790,5,591,5,342,5,slouch
791,4,587,4,347,4,slouch
791,4,580,5,358,5,slouch
792,4,576,4,363,4,slouch
794,4,577,4,365,5,slouch
790,3,578,4,365,4,slouch
790,5,580,5,364,5,slouch
788,3,586,4,359,3,slouch
788,5,588,5,354,5,slouch
788,4,588,3,347,3,slouch
790,5,588,5,347,4,slouch
788,3,588,4,346,4,slouch
791,5,587,5,351,5,slouch
790,4,584,4,353,4,slouch
791,5,583,5,356,5,slouch
790,4,583,3,355,3,slouch
790,5,583,5,355,5,slouch
790,4,584,4,355,4,slouch
789,5,584,5,354,4,slouch
790,3,586,4,353,4,slouch
792,33,596,27,367,27,slouch
789,5,586,4,354,3,slouch
788,5,586,5,355,5,slouch
789,4,585,4,354,4,slouch
788,5,584,5,356,5,slouch
787,4,583,4,356,4,slouch
788,5,584,15,362,13,slouch
789,5,587,5,356,5,slouch
789,4,587,4,356,4,slouch
789,5,588,5,356,5,slouch
789,4,588,4,355,4,slouch
787,5,589,4,356,5,slouch
787,4,589,4,356,4,slouch
788,5,589,6,356,5,slouch
787,5,589,5,355,5,slouch
787,6,589,6,356,5,slouch
789,5,587,5,357,5,slouch
789,5,586,6,359,5,slouch
789,4,586,4,359,4,slouch
787,6,585,6,360,6,slouch
787,4,586,5,361,5,slouch
787,6,585,5,362,5,slouch
787,4,585,5,361,4,slouch
788,6,585,6,362,6,slouch
787,5,583,5,363,5,slouch
787,6,579,6,363,6,slouch
785,6,580,6,363,6,slouch
785,6,580,6,362,5,slouch
783,5,580,5,362,5,slouch
